Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7001","Janvier","%","5.536005","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7002","Février","%","4.356706","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7003","Mars","%","-1.623142","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7004","Avril","%","-2.562263","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7005","Mai","%","-3.630195","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7006","Juin","%","-4.995025","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7007","Juillet","%","-3.473387","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7008","Août","%","-2.546416","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7009","Septembre","%","-1.927739","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7010","Octobre","%","-0.85096","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7011","Novembre","%","-0.534389","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23014","Food price inflation","7012","Décembre","%","-0.300622","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","114.527725","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","113.437296","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","112.827883","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","111.659316","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","111.214302","X","Sources internationales sûres","base year is 2015"
