Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","241","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","2","Afghanistan","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1390","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","777","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1956","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1785","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","5676","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","162","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","431","","Donnée officielle"
"TP","Cultures et produits animaux","79","Allemagne","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","174768","","Donnée officielle"
"TP","Cultures et produits animaux","79","Allemagne","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","699044","","Donnée officielle"
"TP","Cultures et produits animaux","79","Allemagne","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","219054","","Donnée officielle"
"TP","Cultures et produits animaux","79","Allemagne","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","938728","","Donnée officielle"
"TP","Cultures et produits animaux","7","Angola","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","257","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","7","Angola","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1184","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","7","Angola","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","8","Antigua-et-Barbuda","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","320","","Donnée officielle"
"TP","Cultures et produits animaux","8","Antigua-et-Barbuda","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","835","","Donnée officielle"
"TP","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","8","Antigua-et-Barbuda","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","0","","Donnée officielle"
"TP","Cultures et produits animaux","151","Antilles néerlandaises (ex)","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","6","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","151","Antilles néerlandaises (ex)","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","11","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","194","Arabie saoudite","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","14955","","Donnée officielle"
"TP","Cultures et produits animaux","194","Arabie saoudite","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","54235","","Donnée officielle"
