Zone,PIB
Afghanistan,2202.5708512665
Afrique du Sud,12703
Albanie,13037.0100155002
Algérie,11550.5554568171
Allemagne,53011.7681603117
Angola,7310.90173803536
Antigua-et-Barbuda,19840.0761229321
Arabie saoudite,47309.1246039041
Argentine,23562.9188342608
Arménie,12115.0570089389
Australie,48905.4171954152
Autriche,54637.0012845153
Azerbaïdjan,14121.4069355591
Bahamas,35308.4133992786
Bangladesh,4161.09013459284
Barbade,15788.8205162215
Bélarus,18280.1989190642
Belgique,50725.1863102987
Belize,7108.86670023723
Bénin,3044.51388698516
Bolivie (État plurinational de),8423.69679405991
Bosnie-Herzégovine,13788.4820641797
Botswana,17253.2316097939
Brésil,14519.8491302518
Bulgarie,21363.0290871128
Burkina Faso,2053.50441763731
Cabo Verde,6643.204610776
Cambodge,3928.37368825169
Cameroun,3554.52515589469
Canada,48633.829775434
Chili,23663.8852921125
Chine - RAS de Hong-Kong,59849.2481763342
Chine - RAS de Macao,126918.226521718
"Chine, continentale",14344.4204022609
"Chine, Taiwan Province de",22083
Chypre,37766.901656904
Colombie,14316.4858099112
Congo,3448.53720769405
Costa Rica,19112.4088874561
Côte d'Ivoire,4830.75170129491
Croatie,26595.738840327
Cuba,6666.33
Danemark,55064.9088637057
Djibouti,4885.22056254083
Dominique,11304.3597107511
Égypte,11014.4861365513
El Salvador,8454.05819814848
Émirats arabes unis,67183.6265568253
Équateur,11617.9087583298
Espagne,39575.5351485129
Estonie,33820.9187318032
Eswatini,8493.90167189328
États-Unis d'Amérique,59957.7258513035
Éthiopie,2021.56104599467
Fédération de Russie,26005.979940469
Fidji,13429.3159269998
Finlande,47481.2138160103
France,44826.5074739036
Gabon,15006.7640910411
Gambie,2072.6524500401
Géorgie,13589.7073915159
Ghana,4996.63870607304
Grèce,29089.0140066987
Grenade,16217.4998498411
Guatemala,8317.36411696486
Guinée,2420.60099315665
Guinée-Bissau,1925.23773659951
Guyana,8989.03827392901
Haïti,1763.66326068306
Honduras,5561.9963118339
Hongrie,29529.3092284512
Îles Salomon,2337.64268403264
Inde,6185.99389258543
Indonésie,10935.8417542919
Iran (République islamique d'),14535.8630641234
Iraq,10971.9700125942
Irlande,78128.181584186
Islande,55562.4266215313
Israël,38966.6626934549
Italie,41784.6247136637
Jamaïque,9598.37095744956
Japon,40858.8843834887
Jordanie,9841.16955720028
Kazakhstan,24862.9661245889
Kenya,4046.20842543927
Kirghizistan,5046.69153549093
Kiribati,2240.54468679755
Koweït,50855.499959604
Lesotho,2783.11566178163
Lettonie,28488.92360721
Liban,16005.2570426061
Libéria,1515.64325045424
Lituanie,33821.1954485172
Luxembourg,112822.605827833
Macédoine du Nord,15528.9100300467
Madagascar,1584.42267833676
Malaisie,26648.3296520057
Malawi,1037.54586753623
Maldives,17988.6899992013
Mali,2248.26081603136
Malte,41554.937907741
Maroc,7314.15448711835
Maurice,21415.1161096211
Mauritanie,5077.19547171931
Mexique,19795.8684950156
Mongolie,11311.7938211869
Monténégro,19627.0816303639
Mozambique,1283.65986980986
Myanmar,4739.91011751543
Namibie,10050.5012073122
Népal,3099.30608193814
Nicaragua,6004.03178872477
Niger,1161.65706546159
Nigéria,5190.35438635709
Norvège,62940.5874986548
Nouvelle-Calédonie,33722
Nouvelle-Zélande,41493.0341264557
Oman,29083.2366853532
Ouganda,2074.86024139593
Ouzbékistan,6518.8046866066
Pakistan,4571.41449087153
Panama,30454.7638063039
Paraguay,12594.3414272628
Pays-Bas,55347.9123930263
Pérou,12506.5301705306
Philippines,8120.84230884125
Pologne,30152.741569648
Polynésie française,17095.2
Portugal,33086.0967739013
République centrafricaine,912.80205230035
République de Corée,41001.0668862273
République de Moldova,11651.3174546862
République démocratique populaire lao,7257.80793165273
République dominicaine,16735.3325857593
République populaire démocratique de Corée,1700
République-Unie de Tanzanie,2530.43845346455
Roumanie,30907.4227912592
Royaume-Uni,38489.4963100125
Rwanda,27191.6686640869
Sainte-Lucie,45974.8643523571
Saint-Kitts-et-Nevis,1975.2524530498
Saint-Vincent-et-les Grenadines,25355.5171774516
Samoa,12245.0148431486
Sao Tomé-et-Principe,14945.7590049427
Sénégal,6495.38772370331
Serbie,3915.73237469756
Sierra Leone,3203.9007579397
Slovaquie,16534.3390831059
Slovénie,1642.60659308554
Soudan,36650.8021903461
Sri Lanka,4362.57840927293
Suède,12584.1044231151
Suisse,52739.0113876719
Suriname,67139.0499217186
Tadjikistan,16341.4489178575
Tchad,3089.53020835658
Tchéquie (la),1587.03105963951
Thaïlande,17420.5651510671
Timor-Leste,3165.79942372693
Togo,1516.5260461051
Trinité-et-Tobago,26447.59327228
Tunisie,10605.2572072707
Turkménistan,14205.0215776646
Turquie,27934.1673292162
Ukraine,11871.1236240918
Uruguay,21324.8460027319
Vanuatu,3121.11437575278
Venezuela (République bolivarienne du),4263
Viet Nam,7155.74582921877
Yémen,643.2
Zambie,3485.00210305873
Zimbabwe,3028.24597590564
