Zone,Difference de population,Disponibilité alimentaire Kcal,Disponibilité alimentaire Protéine,Proportion Protéine Animale,Disponibilité alimentaire Kcal - volaille,Solde importation - Quantité,Production,PIB
Afghanistan,8.059596469153304,2000.0,54.09,0.19504529487890554,5.0,0.7989836927428311,0.7581528709274906,2202.5708512665
Afrique du Sud,4.324820872776871,2994.0,83.41,0.4143388082963674,143.0,7.910926129139993,29.08552851301251,12703.0
Albanie,-0.42057160292216167,3400.0,119.55,0.5549142618151401,85.0,13.175367610092332,4.476851225829268,13037.0100155002
Algérie,5.956869414453387,3349.0,92.91,0.27671940587665483,22.0,0.04832179610183238,6.6687461146255815,11550.5554568171
Allemagne,1.461472583370523,3556.0,104.2,0.6053742802303262,71.0,2.371204575553775,12.213699731219121,53011.7681603117
Angola,9.642191290337623,2270.0,54.11,0.3045647754574016,35.0,9.290074008687057,0.9012042551892777,7310.901738035359
Antigua-et-Barbuda,3.0074400083831128,2430.0,81.45,0.6637200736648251,233.0,73.35219532641726,1.0059729644765796,19840.0761229321
Arabie saoudite,6.599704300571767,3194.0,87.54,0.4227781585560886,151.0,21.509807203247735,16.321412106758732,47309.1246039041
Argentine,2.9579303523169633,3239.0,102.71,0.6395677149255184,182.0,-4.5291978494731335,48.15971180645805,23562.9188342608
Arménie,1.0995690694412883,3078.0,97.37,0.45773852315908387,54.0,11.885397600508016,3.5995775590109993,12115.057008938898
Australie,4.019586229113978,3311.0,108.1,0.6595744680851064,192.0,-1.0575717664133106,50.01114517938451,48905.4171954152
Autriche,2.3207746119570576,3692.0,108.13,0.6000184962545084,65.0,3.6281590494223295,14.421932221453758,54637.0012845153
Azerbaïdjan,3.4503703282371614,3103.0,92.35,0.32604223064428806,44.0,2.7424197486724657,10.6001633263317,14121.4069355591
Bahamas,2.912901113294042,2043.0,61.47,0.6834228078737595,182.0,62.868369351669934,18.412573673870334,35308.4133992786
Bangladesh,3.236388143638917,2596.0,60.28,0.19840743198407432,7.0,0.0,1.2175688926390398,4161.09013459284
Barbade,0.4891171435558935,2896.0,89.25,0.5643697478991596,199.0,6.987387765084023,55.21783181357649,15788.8205162215
Bélarus,0.1956566136485544,3289.0,94.1,0.5418703506907546,95.0,-13.862096478075138,48.67606396881346,18280.198919064198
Belgique,1.7383918211869824,3768.0,101.55,0.5698670605612999,44.0,-27.846494012565948,39.87512861489962,50725.186310298704
Belize,5.961093221917657,2698.0,67.18,0.37883298600774035,110.0,0.0,52.28198099901536,7108.86670023723
Bénin,7.949387930417358,2756.0,64.44,0.22330850403476105,37.0,11.006514424797764,1.2625277399957047,3044.51388698516
Bolivie (État plurinational de),4.345005963628566,2354.0,68.46,0.45369558866491383,155.0,0.0,45.03705490558705,8423.69679405991
Bosnie-Herzégovine,-3.8961310207576814,3269.0,94.71,0.3666983423080984,56.0,0.596742383329405,18.191691555796904,13788.4820641797
Botswana,5.281441036152885,2340.0,65.18,0.4057993249463025,12.0,1.3604948573294393,2.086092114571807,17253.2316097939
Brésil,2.4394874712883667,3248.0,90.86,0.5811138014527845,204.0,-20.304683809401183,65.4722701050291,14519.8491302518
Bulgarie,-2.0163493109410293,2828.0,83.34,0.4997600191984641,81.0,8.870191089259468,12.253394608050192,21363.0290871128
Burkina Faso,8.373785965155426,2720.0,76.13,0.1437015631157231,8.0,0.0,2.5046852457871864,2053.5044176373103
Cabo Verde,3.5776744186046545,2515.0,69.34,0.3706374387078165,62.0,22.325581395348838,1.8381395348837208,6643.204610776
Cambodge,4.590487719410021,2472.0,65.4,0.2929663608562691,11.0,0.6246326379298176,1.0962302795668297,3928.37368825169
Cameroun,7.670009895762737,2653.0,69.45,0.16213102951763858,11.0,0.0,3.1128707196551995,3554.5251558946898
Canada,2.9068852583979736,3492.0,101.2,0.5036561264822134,154.0,0.5172587464370403,33.68233779174074,48633.829775434
Chili,3.8519926975210095,3011.0,88.61,0.5137117706805101,153.0,2.165622475696302,33.89886759600746,23663.8852921125
Chine - RAS de Hong-Kong,2.349335917397536,3358.0,137.93,0.7330529978974842,210.0,33.39574505359742,3.2033910368010163,59849.2481763342
Chine - RAS de Macao,5.200854494932459,3002.0,100.46,0.6677284491339837,142.0,36.942450087537544,6.11317239274643,126918.22652171801
"Chine, continentale",1.5177684221154741,3197.0,101.42,0.39518832577400903,59.0,-0.0872611531171524,9.757670218413752,14344.420402260901
"Chine, Taiwan Province de",0.7711656610157309,2976.0,85.75,0.4951603498542274,126.0,6.462636037432601,23.60019514626466,22083.0
Chypre,2.321816085718169,2616.0,80.28,0.5686347782760338,91.0,11.019937610199376,21.276956462769565,37766.901656903996
Colombie,3.9708573980205197,3094.0,72.36,0.513819789939193,111.0,1.5538795465288786,31.968393272192266,14316.4858099112
Congo,7.31231986287566,2309.0,55.9,0.47710196779964226,72.0,20.34950270902755,1.3608729936662174,3448.5372076940503
Costa Rica,3.122253760138995,3015.0,81.16,0.5616067028092656,92.0,2.828311397084819,26.909362720835563,19112.408887456102
Côte d'Ivoire,7.3239578401528505,2730.0,59.18,0.23166610341331534,8.0,0.286445364434207,1.830140354136496,4830.75170129491
Croatie,-1.7368499065233012,3083.0,90.35,0.5953514111787493,37.0,1.6734961246611164,12.527313847463219,26595.738840327
Cuba,0.28529223714090757,3410.0,88.44,0.3683853459972863,82.0,27.515047291487534,2.5795356835769563,6666.33
Danemark,1.1874876794010158,3384.0,113.05,0.6477664750110571,112.0,-1.046705755311593,26.46630392497213,55064.90886370571
